id_one,Warehouse Code,Warehouse Name,Warehouse Country,Warehouse City,Customer Code,Customer Country,Customer City,Road,Rail,Sea,Air
19,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,500291515,FRANCE,LES ANGLES,765.728,0,0,0
610,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,539784343,FRANCE,SUCY EN BRIE,281.488,0,0,0
676,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,534066969,GERMANY,PEINE - WOLTORF,856,0,0,0
682,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,534067272,FRANCE,BELLEVILLE,52.694,0,0,0
1375,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,502991313,FRANCE,MOISSY-CRAMAYEL,288.437,0,0,0
1509,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,500345151,FRANCE,LEVALLOIS PERRET,295.165,0,0,0
2324,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,529313232,FRANCE,HERLIN LE SEC,353.59,0,0,0
4331,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,500326969,FRANCE,MACON,478.723,0,0,0
4359,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,500347474,FRANCE,ORLY,287.11,0,0,0
5601,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,500347676,FRANCE,VITRY SUR SEINE,284.851,0,0,0
6164,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,11515,FRANCE,CLICHY CEDEX,293.858,0,0,0
6814,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,500651717,FRANCE,SERRIS,256.25,0,0,0
20416,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,533534848,UNITED KINGDOM,BRISTOL,626,0,44,0
22118,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,900174646,FRANCE,AUBROMETZ,357.151,0,0,0
23722,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,906625050,FRANCE,GAEL,667.613,0,0,0
24471,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,533485555,UNITED KINGDOM,KENT,409,0,44,0
30080,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,549488989,FRANCE,GRETZ ARMAINVILLIERS,268.336,0,0,0
30235,3403434,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,526226767,MAURITANIA,NOUAKCHOTT,300,0,3739,0
30269,3402002,WAREHOUSE PARIS AREA 2,FRANCE,MONTMIRAIL,548669797,BULGARIA,DOLNI BOGROV,2163,0,0,0
