"Order Number","tot_units","etotal"
21001592,132,1744.6
21000095,70000,1514.1
21022057,77321,1489.12
20203388,153,1083.11
21022259,30495,1015.05
21004201,12000,821.76
21002631,17390,670.33
21021776,29521,578.91
21040111,83665,526.1
21022334,14221,521.78
21005078,65,484.93
21000019,11730,446.58
21011469,30735,371.42
21001643,28,370.07
21024956,7982,353.11
21000320,752,340.65
21040143,54430,326.41
21002759,16326,323.08
21004473,4400,303.02
21004326,6560,244.47
21008607,108,243.49
21005817,184,233
21000840,6956,208.97
21009087,38363,198.95
21002029,790,198.49
21002921,8662,193.23
21003504,9072,192.29
21023570,30357,190.74
21001041,12512,190.23
21003667,9600,190.03
21002768,9600,190.03
21002161,9600,190.03
21002529,10200,187.46
20203403,10200,187.46
21024753,35274,174.55
21006978,339,170.35
21034769,34134,167.1
21027239,11939,158.89
21017027,14085,154.59
21022127,24242,144.21
21015794,26945,140.03
21004423,28276,138.34
21083303,27752,133.32
21002364,9056,131.07
21004325,6000,128.4
21005089,160,125.96
21010299,20983,115.75
21003590,4960,109.91
21002923,19687,107.68
21001582,132,107.39
21000584,17260,103.92
21084936,17372,95.58
21012651,16684,95.32
21018049,17515,94.88
21017024,15899,92.3
21005182,15652,91.54
21038785,19110,88.83
21031897,12878,86.22
20258208,17466,85.66
21002917,44634,78.6
21084026,13558,76.31
21030373,13758,73.9
21089663,13515,70.34
21082159,11175,69.41
21002752,33760,66.73
21039691,10884,63.02
21002633,29306,60.89
21011516,12926,60.42
21083282,8789,60.38
21088284,8119,56.83
21024570,6120,56.59
21031568,4680,55.9
21028448,12491,55.84
20203383,128,55.78
21080882,10070,55.51
21003491,30312,52.91
21050053,6030,52.18
21004175,12000,50.58
21025948,3600,50.19
21089497,11831,50.18
21070918,3780,49.41
21042056,986,47.89
21045794,3540,46.98
21011222,3540,46.98
21008836,4740,45.25
21082898,3300,44.56
21038108,3300,44.56
21020520,3300,44.56
21026829,814,44.27
20247100,2,43.32
21087871,4500,42.83
21049500,4500,42.83
21039330,4500,42.83
21033917,9328,42.7
21002048,993,42.08
21086664,2605,40.22
21017041,3890,40.16
21051187,7360,40
21025285,9151,39.99
21024888,2128,39.69
21076337,1601,38.48
21005070,2400,38.07
21036186,7080,37.99
21079639,6935,37.21
21074546,4710,36.72
21003871,4140,36.61
21025759,6044,34.99
21034813,4743,34.35
21086746,7310,33.72
21003737,12250,32.28
21072933,3780,31.67
21000922,19922,30.09
21027656,2343,29.83
21000067,13710,29.81
21002368,14120,29.76
21079664,2636,29.15
21034333,2,28.89
21029110,4390,27.82
21003788,10500,27.66
21002434,11730,27.49
21037208,4180,27.49
20203395,12162,25.67
21002514,2057,25.11
21082333,547,24.91
21002518,14076,24.18
21001330,4039,23.63
21010124,2580,23.45
21000225,15372,23.26
21004323,19800,23.24
21077926,1007,22.94
21012075,3564,22.88
21034425,2760,22.67
21037066,1372,22.37
21001115,14716,21.84
21016274,1672,21.63
21030148,606,21.56
21012886,3505,21.15
21037546,805,20.91
21001780,10210,20.59
21000803,10210,20.59
21002028,10620,20.54
21079721,499,20.39
21079105,2520,20.25
21080949,2398,20.17
21003591,12736,19.51
21004464,500,19.25
21086094,3003,18.91
21000061,2188,18.65
21084150,4396,18.65
21017392,2100,18.6
21055353,4640,18.49
21002241,7000,18.44
21000812,7820,18.33
21028018,2740,18.14
21024808,1246,18
21077567,4335,17.63
21001785,2070,17.42
21002928,3011,17.38
21083937,2253,17.19
21031660,1413,17.14
21008835,1141,17.05
21004566,2432,16.47
21002150,10822,16.44
21083888,1860,16.18
21075030,1120,16.15
21000113,8460,15.98
20203327,8460,15.98
21048591,1,15.85
21028608,1,15.85
21084781,2500,15.72
21007198,2500,15.72
21001838,12600,15.65
21003893,1,15.52
21002524,13200,15.49
21001651,13200,15.49
21079663,1694,15.37
21017001,2195,15.24
21001837,9756,15.07
21004240,6560,15.04
21000546,10166,15.01
20245714,4,14.7
21023760,4131,14.47
21001913,9100,13.65
21041545,1800,12.98
21011367,754,12.92
21024819,2,12.89
21026063,1927,12.89
21010698,1238,12.75
21038686,2475,12.74
21030962,1858,12.58
21024117,2068,12.56
21086059,1728,12.32
21083761,2410,12.01
21080082,344,11.94
20203348,6502,11.89
21003787,9000,11.86
21003624,9600,11.69
21003490,9600,11.69
21002763,9600,11.69
21002249,9600,11.69
21002162,9600,11.69
21001492,9600,11.69
21001118,9600,11.69
21001046,9600,11.69
21000804,9600,11.69
21000544,9600,11.69
21000117,9600,11.69
20203402,10200,11.54
21080918,2,11.4
21074348,1380,11.34
21056631,1380,11.34
21020633,1677,11.27
21015125,1882,10.76
21037055,1761,10.73
21003919,12416,10.72
21004398,9040,10.68
21001583,13,10.58
21028855,1460,10.51
21010352,1814,10.47
21058596,1200,10.38
21080584,1586,10.09
21085068,2520,9.72
21081957,960,9.69
21033282,960,9.69
21023078,960,9.69
21000427,960,9.69
21006216,1280,9.48
20258239,2771,9.48
21051816,1600,9.23
21058996,1212,9.2
21050564,1212,9.2
21021247,1374,9.01
21077515,922,8.95
21010443,1478,8.93
21035554,1201,8.93
21032286,1809,8.84
21037588,1821,8.82
21080959,812,8.34
21013968,1174,8.2
21001494,9056,8.07
21009276,450,7.9
21078778,664,7.81
21027201,1171,7.71
21053217,822,7.63
21011938,699,7.62
21053218,810,7.5
21033036,1240,7.45
21083706,871,7.43
21046881,720,7.27
21051890,1,7.25
21008771,790,7.19
21003647,8960,7.08
21028868,689,6.89
21057087,1023,6.23
21020800,1254,5.9
21003623,6256,5.85
21035518,1030,5.36
21006033,913,5.3
21000301,822,5.28
21011840,720,5.19
21007784,748,4.78
21024558,685,4.72
21084209,655,4.6
21002317,488,4.59
21006170,1600,4.51
21008983,530,4.5
21042466,1590,4.49
21088400,552,4.41
21037581,585,4.23
21033180,540,4.18
21024966,896,3.72
21018956,406,3.64
21030990,320,3.39
21087556,352,3.34
21000869,184,3.23
21016766,527,2.78
21084109,400,2.52
21017093,405,2.2
21029926,174,2.12
21078842,155,2.08
21000857,370,2
21080529,600,1.96
21000867,99,1.89
21027173,120,0.98
